,index,id,gameType,gameDate,gameState,awayTeam.id,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.abbrev,homeTeam.score,winner_id,loser_id,is_cup_game,is_next_game
267,374,2024020162,2,2024-10-31,FUT,19,STL,,4,PHI,,0,0,False,False
268,197,2024020163,2,2024-10-31,FUT,24,ANA,,5,PIT,,0,0,False,False
269,640,2024020164,2,2024-10-31,FUT,8,MTL,,15,WSH,,0,0,False,False
270,107,2024020165,2,2024-10-31,FUT,6,BOS,,12,CAR,,0,0,False,False
271,991,2024020166,2,2024-10-31,FUT,22,EDM,,18,NSH,,0,0,False,False
272,1344,2024020167,2,2024-10-31,FUT,16,CHI,,28,SJS,,0,0,False,False
273,1255,2024020168,2,2024-11-01,FUT,13,FLA,,25,DAL,,0,0,False,False
274,1877,2024020169,2,2024-11-01,FUT,2,NYI,,7,BUF,,0,0,False,False
275,1431,2024020170,2,2024-11-01,FUT,9,OTT,,3,NYR,,0,0,False,False
276,2408,2024020171,2,2024-11-01,FUT,52,WPG,,29,CBJ,,0,0,False,False
277,286,2024020172,2,2024-11-01,FUT,14,TBL,,30,MIN,,0,0,False,False
278,552,2024020173,2,2024-11-01,FUT,1,NJD,,20,CGY,,0,0,False,False
279,1256,2024020174,2,2024-11-02,FUT,25,DAL,,13,FLA,,0,0,False,False
280,108,2024020175,2,2024-11-02,FUT,6,BOS,,4,PHI,,0,0,False,False
281,1345,2024020176,2,2024-11-02,FUT,16,CHI,,26,LAK,,0,0,False,False
282,727,2024020177,2,2024-11-02,FUT,29,CBJ,,15,WSH,,0,0,False,False
283,2143,2024020178,2,2024-11-02,FUT,55,SEA,,9,OTT,,0,0,False,False
284,18,2024020179,2,2024-11-02,FUT,7,BUF,,17,DET,,0,0,False,False
285,198,2024020180,2,2024-11-02,FUT,8,MTL,,5,PIT,,0,0,False,False
286,1790,2024020181,2,2024-11-02,FUT,10,TOR,,19,STL,,0,0,False,False
287,905,2024020182,2,2024-11-02,FUT,21,COL,,18,NSH,,0,0,False,False
288,1169,2024020183,2,2024-11-02,FUT,59,UTA,,54,VGK,,0,0,False,False
289,815,2024020184,2,2024-11-02,FUT,23,VAN,,28,SJS,,0,0,False,False
290,1432,2024020185,2,2024-11-03,FUT,2,NYI,,3,NYR,,0,0,False,False
291,287,2024020186,2,2024-11-03,FUT,14,TBL,,52,WPG,,0,0,False,False
292,109,2024020187,2,2024-11-03,FUT,55,SEA,,6,BOS,,0,0,False,False
293,462,2024020188,2,2024-11-03,FUT,15,WSH,,12,CAR,,0,0,False,False
294,1700,2024020189,2,2024-11-03,FUT,10,TOR,,30,MIN,,0,0,False,False
295,553,2024020190,2,2024-11-03,FUT,22,EDM,,20,CGY,,0,0,False,False
296,1080,2024020191,2,2024-11-03,FUT,16,CHI,,24,ANA,,0,0,False,False
297,993,2024020192,2,2024-11-04,FUT,26,LAK,,18,NSH,,0,0,False,False
298,1614,2024020193,2,2024-11-04,FUT,1,NJD,,22,EDM,,0,0,False,False
299,2056,2024020194,2,2024-11-05,FUT,9,OTT,,7,BUF,,0,0,False,False
300,110,2024020195,2,2024-11-05,FUT,6,BOS,,10,TOR,,0,0,False,False
301,554,2024020196,2,2024-11-05,FUT,20,CGY,,8,MTL,,0,0,False,False
302,376,2024020197,2,2024-11-05,FUT,4,PHI,,12,CAR,,0,0,False,False
