,index,id,gameType,gameDate,gameState,awayTeam.id,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.abbrev,homeTeam.score,winner_id,loser_id,is_cup_game,is_next_game
259,1086,2023020149,2,2023-11-02,OFF,26,LAK,3.0,9,OTT,2.0,26,9,False,False
260,1796,2023020150,2,2023-11-02,OFF,2,NYI,3.0,15,WSH,0.0,2,15,False,False
261,104,2023020151,2,2023-11-02,OFF,1,NJD,5.0,30,MIN,3.0,1,30,False,False
262,284,2023020152,2,2023-11-02,OFF,25,DAL,4.0,22,EDM,3.0,25,22,False,False
263,2421,2023020153,2,2023-11-02,OFF,8,MTL,2.0,53,ARI,3.0,53,8,False,False
264,1351,2023020154,2,2023-11-02,OFF,18,NSH,2.0,55,SEA,4.0,55,18,False,False
265,17,2023020155,2,2023-11-02,OFF,52,WPG,2.0,54,VGK,5.0,54,52,False,False
266,2150,2023020156,2,2023-11-02,OFF,23,VAN,10.0,28,SJS,1.0,23,28,False,False
267,2063,2023020157,2,2023-11-03,OFF,4,PHI,5.0,7,BUF,1.0,4,7,False,False
268,105,2023020158,2,2023-11-03,OFF,1,NJD,1.0,19,STL,4.0,19,1,False,False
269,285,2023020159,2,2023-11-04,OFF,18,NSH,5.0,22,EDM,2.0,18,22,False,False
270,908,2023020160,2,2023-11-04,OFF,52,WPG,5.0,53,ARI,3.0,52,53,False,False
271,996,2023020161,2,2023-11-04,OFF,6,BOS,4.0,17,DET,5.0,17,6,False,False
272,820,2023020162,2,2023-11-04,OFF,14,TBL,6.0,9,OTT,4.0,14,9,False,False
273,1087,2023020163,2,2023-11-04,OFF,26,LAK,5.0,4,PHI,0.0,26,4,False,False
274,1529,2023020164,2,2023-11-04,OFF,8,MTL,3.0,19,STL,6.0,19,8,False,False
275,196,2023020165,2,2023-11-04,OFF,7,BUF,6.0,10,TOR,4.0,7,10,False,False
276,1620,2023020166,2,2023-11-04,OFF,29,CBJ,1.0,15,WSH,2.0,15,29,False,False
277,732,2023020167,2,2023-11-04,OFF,12,CAR,4.0,2,NYI,3.0,12,2,False,False
278,642,2023020168,2,2023-11-04,OFF,13,FLA,2.0,16,CHI,5.0,16,13,False,False
279,1175,2023020169,2,2023-11-04,OFF,3,NYR,4.0,30,MIN,5.0,30,3,False,False
280,464,2023020170,2,2023-11-04,OFF,20,CGY,6.0,55,SEA,3.0,20,55,False,False
281,1439,2023020171,2,2023-11-04,OFF,5,PIT,10.0,28,SJS,2.0,5,28,False,False
282,552,2023020172,2,2023-11-04,OFF,25,DAL,0.0,23,VAN,2.0,23,25,False,False
283,18,2023020173,2,2023-11-04,OFF,21,COL,0.0,54,VGK,7.0,54,21,False,False
284,106,2023020174,2,2023-11-05,OFF,1,NJD,4.0,16,CHI,2.0,1,16,False,False
285,19,2023020175,2,2023-11-05,OFF,54,VGK,2.0,24,ANA,4.0,24,54,False,False
286,643,2023020176,2,2023-11-06,OFF,29,CBJ,4.0,13,FLA,5.0,13,29,False,False
287,197,2023020177,2,2023-11-06,OFF,14,TBL,5.0,10,TOR,6.0,10,14,False,False
288,553,2023020178,2,2023-11-06,OFF,6,BOS,3.0,25,DAL,2.0,6,25,False,False
289,286,2023020179,2,2023-11-06,OFF,22,EDM,2.0,23,VAN,6.0,23,22,False,False
290,733,2023020180,2,2023-11-07,OFF,7,BUF,2.0,12,CAR,3.0,12,7,False,False
291,822,2023020181,2,2023-11-07,OFF,14,TBL,5.0,8,MTL,3.0,14,8,False,False
