,id,season,gameType,gameDate,startTimeUTC,gameState,awayTeam.id,awayTeam.placeName.default,awayTeam.abbrev,awayTeam.logo,awayTeam.score,homeTeam.id,homeTeam.placeName.default,homeTeam.abbrev,homeTeam.logo,homeTeam.score,winnerId,loserId,cupGame,nextGame
1116,2024021117,20242025,2,2025-03-22,2025-03-23 02:30:00+00:00,OFF,6,Boston,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,1,28,San Jose,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,3,28,6,False,False
1117,2024021118,20242025,2,2025-03-23,2025-03-23 19:00:00+00:00,OFF,4,Philadelphia,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,4,16,Chicago,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,7,16,4,False,False
1118,2024021119,20242025,2,2025-03-23,2025-03-23 19:00:00+00:00,OFF,7,Buffalo,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,5,52,Winnipeg,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,3,7,52,False,False
1119,2024021120,20242025,2,2025-03-23,2025-03-23 22:00:00+00:00,OFF,5,Pittsburgh,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,3,13,Florida,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,4,13,5,False,False
1120,2024021121,20242025,2,2025-03-23,2025-03-23 22:00:00+00:00,OFF,18,Nashville,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,1,19,St. Louis,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,4,19,18,False,False
1121,2024021122,20242025,2,2025-03-23,2025-03-24 00:00:00+00:00,OFF,14,Tampa Bay,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,2,54,Vegas,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,4,54,14,False,False
1122,2024021123,20242025,2,2025-03-23,2025-03-24 00:00:00+00:00,OFF,12,Carolina,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,5,24,Anaheim,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,2,12,24,False,False
1123,2024021124,20242025,2,2025-03-23,2025-03-24 01:00:00+00:00,OFF,6,Boston,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,2,26,Los Angeles,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,7,26,6,False,False
1124,2024021125,20242025,2,2025-03-24,2025-03-24 23:30:00+00:00,LIVE,23,Vancouver,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,1,1,New Jersey,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,0,23,1,False,False
1125,2024021126,20242025,2,2025-03-24,2025-03-24 23:30:00+00:00,LIVE,29,Columbus,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,0,2,New York,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,1,2,29,False,False
1126,2024021127,20242025,2,2025-03-24,2025-03-25 00:00:00+00:00,PRE,30,Minnesota,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,0,25,Dallas,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,0,0,0,False,False
1127,2024021128,20242025,2,2025-03-24,2025-03-25 01:00:00+00:00,FUT,17,Detroit,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,0,59,Utah,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,0,0,0,False,False
1128,2024021129,20242025,2,2025-03-25,2025-03-25 23:00:00+00:00,FUT,9,Ottawa,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,0,7,Buffalo,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,0,0,0,False,False
1129,2024021130,20242025,2,2025-03-25,2025-03-25 23:00:00+00:00,FUT,4,Philadelphia,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,0,10,Toronto,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,0,0,0,False,False
